Country,ShortName,PopBelow100k,HDI,IHDI,Inequality-loss,HDI_scaled,Inequality-loss_scaled,UN_Geoscheme,EuroVoc,Cold_War,Personal,JitteredY,k2,k4,k6
Ireland,Ireland,,0.95,0.886,6.7,1.0549001123816546,-0.7436525182644762,Northern,Western,Western,Western,6.683221979289637,1,2,3
United Kingdom,UK,,0.94,0.865,8.0,0.8997677429137647,-0.19404344135472548,Northern,Western,Western,Western,7.923339842785965,1,2,3
Switzerland,Switzerland,,0.967,0.891,7.9,1.3186251404770672,-0.2363210626554754,Western,Western,Western,Western,7.7925948180142255,1,2,3
Germany,Germany,,0.95,0.881,7.3,1.0549001123816546,-0.489986790459976,Western,Western,Western,Western,7.21096982070245,1,2,3
Netherlands,Netherlands,,0.946,0.885,6.4,0.9928471645944986,-0.8704853821667263,Western,Western,Western,Western,6.526893924761068,1,2,3
Belgium,Belgium,,0.942,0.878,6.8,0.9307942168073426,-0.7013748969637263,Western,Western,Western,Western,6.6445386544369995,1,2,3
Luxembourg,Luxembourg,,0.927,0.839,9.5,0.6980956626055096,0.4401208781565255,Western,Western,Western,Western,9.5505748915817,1,1,1
Austria,Austria,,0.926,0.859,7.2,0.6825824256587206,-0.5322644117607259,Western,Western,Western,Western,7.110715154654606,1,2,3
France,France,,0.91,0.82,9.9,0.4343706345100968,0.6092313633595259,Western,Western,Western,Western,9.972869869675398,0,1,1
Malta,Malta,,0.915,0.837,8.5,0.5119368192440418,0.017344665149024854,Southern,Southern,Western,Southern,8.571588313564297,1,1,1
Spain,Spain,,0.911,0.796,12.6,0.4498838714568858,1.7507271384797773,Southern,Southern,Western,Southern,12.718686967435097,0,1,5
Italy,Italy,,0.906,0.802,11.5,0.37231768672294085,1.285673304171527,Southern,Southern,Western,Southern,11.318320865009094,0,1,5
Greece,Greece,,0.893,0.801,10.3,0.17064560641468401,0.7783418485625263,Southern,Southern,Western,Southern,10.465039309764148,0,1,1
Portugal,Portugal,,0.874,0.774,11.4,-0.12410589557430672,1.2433956828707768,Southern,Southern,Western,Southern,11.285526394534827,0,1,5
Romania,Romania,,0.827,0.739,10.6,-0.853228032073389,0.9051747124647761,Eastern,Central and Eastern,Eastern,South-East,10.521454920509006,0,3,5
Bulgaria,Bulgaria,,0.799,0.703,12.0,-1.287598666583479,1.497061410675277,Eastern,Central and Eastern,Eastern,South-East,12.195625449380135,0,3,4
Croatia,Croatia,,0.878,0.817,6.9,-0.06205294778715078,-0.659097275662976,Southern,Central and Eastern,Eastern,South-East,6.774352601168452,1,2,2
Montenegro,Montenegro,,0.844,0.756,10.4,-0.5895030039779763,0.8206194698632763,Southern,Central and Eastern,Eastern,South-East,10.595489934164465,0,1,5
Serbia,Serbia,,0.805,0.74,8.1,-1.194519244902745,-0.15176582005397557,Southern,Central and Eastern,Eastern,South-East,8.200033692548786,0,0,0
Albania,Albania,,0.789,0.687,12.9,-1.4427310360513688,1.8775600023820278,Southern,Central and Eastern,Eastern,South-East,12.788954418045737,0,3,4
Bosnia and Herzegovina,Bosnia and Herzegovina,,0.779,0.667,14.4,-1.5978634055192587,2.5117243218932788,Southern,Central and Eastern,Eastern,South-East,14.259161563331894,0,3,4
North Macedonia,North Macedonia,,0.765,0.679,11.2,-1.8150487227743046,1.1588404402692762,Southern,Central and Eastern,Eastern,South-East,11.206316110044583,0,3,4
Norway,Norway,,0.966,0.903,6.5,1.3031119035302783,-0.8282077608659765,Northern,Northern,Western,Northern,6.457703327429388,1,2,3
Iceland,Iceland,,0.959,0.91,5.1,1.1945192449027555,-1.4200944590764775,Northern,Northern,Western,Northern,4.927952050148884,1,2,3
Denmark,Denmark,,0.952,0.898,5.7,1.0859265862752325,-1.166428731271977,Northern,Northern,Western,Northern,5.635290308077589,1,2,3
Sweden,Sweden,,0.952,0.878,7.8,1.0859265862752325,-0.27859868395622567,Northern,Northern,Western,Northern,7.6044148885160565,1,2,3
Finland,Finland,,0.942,0.886,5.9,0.9307942168073426,-1.0818734886704766,Northern,Northern,Western,Northern,6.007011143224408,1,2,3
Moldova (Republic of),Moldova,,0.763,0.698,8.5,-1.8460751966678826,0.017344665149024854,Eastern,Central and Eastern,Eastern,North-East,8.649888852182464,0,0,0
Ukraine,Ukraine,,0.734,0.676,7.9,-2.295959068124763,-0.2363210626554754,Eastern,Central and Eastern,Eastern,North-East,7.913437728286229,0,0,0
